name,nameshort,latitude,longitude,elevation
Sydney,SYD,-33.865143,151.209900,19
Austin,ATN,30.210768,-97.654724,148
New Delhi,DLH,28.644800,77.216721,222
Dublin,DLN,53.350140,-6.266155,6
